Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
Staf Pengelolaan Unit Industri Hasil Hutan Kayu,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Engineering and Maintenance,Diploma III,Teknik Industri,Requirement: Memahami teknologi & proses produksi,https://rekrutmenbersama.fhcibumn.id/job/detail/8D1F8E82EB6E2D447FD6B5940A26E333
Staf Hukum dan Kepatuhan,Perum Perhutani - PT. Palawi Risorsis - PT. Palawi Risorsis,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,Requirement: Memahami hukum korporasi,https://rekrutmenbersama.fhcibumn.id/job/detail/22F038C295C2356605AB211BC534B8E0
Supervisor,PT Adhi Karya (Persero) Tbk,Engineering and Maintenance,Diploma III,Teknik Sipil bangunan Gedung,"Laki - Laki
Memiliki Sertifikat Ahli Muda K3L
Memiliki Pemahaman terkait Project Management
Memiliki Pemahaman terkait Supervisory",https://rekrutmenbersama.fhcibumn.id/job/detail/3DB9E39670CB13893789C6E91FB42835
Surveyor,PT Adhi Karya (Persero) Tbk,Engineering and Maintenance,Diploma III,"Teknik Sipil bangunan Gedung
Teknik geodesi/geodesi","Laki - Laki
Memiliki Sertifikat Ahli Muda K3L
Memiliki Pemahaman terkait Project Management
Memiliki Pemahaman terkait Surveying
Memiliki Kemampuan menggunakan Construction Drawing/ACAD",https://rekrutmenbersama.fhcibumn.id/job/detail/8E24E761B63B820EC2266E75BF33A6BE
Officer Adm & Land Asset Claim,PT Krakatau Steel (Persero) Tbk,Logistic / Supply Chain / Asset / GA,Diploma III,"Teknik geodesi/geodesi
Geomatika","Pengukuran
Inderaja & GIS (QGIS dan Arc GIS)
Mengumpulkan, memeriksa dan menata dokumen tanah pinjam pakai oleh KS Group & Instansi luar untuk memastikan dokumen dalam keadaan baik dan siap dipergunakan
Memeriksa dan memetakan tanah tidak produktif yang dapat dimanfaatkan, untuk memastikan peta tanah tidak produktif benar dan akurat
Menyiapkan dan updating data penggunaan lahan perusahaan bagi kepentingan obyek pajak untuk memastikan data up to date
Memeriksa dan menginput data sewa dan pinjam pakai tanah ke SIGAP (Sistem Informasi Geografis Adminstrasi Pertanahan), untuk memastikan data yang diinput benar dan akurat
Mengumpulkan, memeriksa dan menginventarisasi masa berlakunya surat pernyataan penggarap tanah sebegai dasar pembuatan surat teguran perpanjangan surat pernyataan penggarap",https://rekrutmenbersama.fhcibumn.id/job/detail/D2CA7A093690816162D7B515632C7AF5
FINANCIAL ACCOUNTANT,PT Krakatau Steel (Persero) Tbk - PT Krakatau Baja Konstruksi,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Experience in an Accounting or finance role
Advanced proficiency in MS Excel & Accounting software",https://rekrutmenbersama.fhcibumn.id/job/detail/DABCFE1FB3E8A5EA7E87032C91091A41
Officer Accounting/Finance,PT Krakatau Steel (Persero) Tbk - PT Krakatau Baja Konstruksi - PT Krakatau Pipe Industries,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,Empty Cause Error Network,https://rekrutmenbersama.fhcibumn.id/job/detail/E15CDEDD7754763B09B7A3315193E55E
Staff Accounting/Finance,PT Krakatau Steel (Persero) Tbk - PT Krakatau Sarana Infrastruktur - PT Krakatau Bandar Samudera,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Menguasai Ms. Excel
Menguasai laporan keuangan
Usia max 30 tahun
Teliti, jujur dan skill administrasi
Memiliki sertifikat brevet A & B (lebih diprioritas)
Penempatan di Kota Cilegon",https://rekrutmenbersama.fhcibumn.id/job/detail/6822C9741DC500C31E436CFCB476C70F
Cost Accounting Specialist,PT Krakatau Steel (Persero) Tbk - PT Krakatau Sarana Infrastruktur - PT Krakatau Daya Listrik,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Pria atau Wanita
Usia Max. 25 Tahun
Mampu bekerja secara team maupun individu
Mampu bekerja dibawah tekanan dan target waktu
Menguasai Ilmu Akuntansi Keuangan, PSAK
Menguasai Microsoft Office",https://rekrutmenbersama.fhcibumn.id/job/detail/2370842CF1F6818EDCF52F89A1F8AAB2
Budget Control Unit Staff,PT Reasuransi Indonesia Utama (Persero),Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Analyze financial information (e.g. revenues, expenditures and cash management) to ensure all operations are within budget
Monitor the status of budget spending/activity
Forecast future budget needs
Identify variances between actual and budgeted financial results at the end of each reporting period
Review the organization’s budget for compliance",https://rekrutmenbersama.fhcibumn.id/job/detail/3A42E329D4AB5236283105DE6438936A
Accounting Unit Staff,PT Reasuransi Indonesia Utama (Persero),Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Melaksanakan fungsi dan proses akuntansi secara baik melalui kelengkapan dan ketepatan waktu seluruh pencatatan, pengolahan data, penyusunan, dan penyampaian laporan keuangan kepada pemangku kepentingan sesuai dengan standar akuntansi keuangan dan regulasi yang berlaku
Mengikuti dan memahami perkembangan ketentuan dan peraturan yang baru sebagai dasar untuk mendukung akurasi penyajian laporan keuangan perusahaan
Melaksanakan filling yang baik terkait data di accounting division sehingga bisa dijamin kelengkapan dan keamanannya.",https://rekrutmenbersama.fhcibumn.id/job/detail/5D85FF6D16BC0D8A49000D6493BBB905
Procurement Unit Staff,PT Reasuransi Indonesia Utama (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Industri
Manajemen
Ekonomi
Akuntansi","Memfasilitasi layanan pengadaan barang dan jasa, meneyelenggarakan perencanaan, pelaksanaan pengadaan barang dan jasa serta evaluasi dalam proses pengadaan barang dan jasa
Melaksanakan berbagai kegiatan yang berkaitan dengan pengadaan barang dan jasa yang menjadi tanggung jawab dan dalam batasan kewenangannya sesuai dengan ketentuan yang berlaku
Melaksanakan analisis atas kebutuhan barang dan jasa yang berada dalam batasan tanggung jawab dan kewenangannya, untuk penyusunan usulan pengadaan barang dan jasa yang diperlukan sesuai dengan ketentuan yang berlaku
Menyusun laporan-laporan yang berhubungan dengan administrasi pengadaan barang dan jasa (bulanan, triwulan atau tahunan)",https://rekrutmenbersama.fhcibumn.id/job/detail/144519A3542C8DC55CA5CD18EE1C8A34
Programmer,PT Reasuransi Indonesia Utama (Persero) - PT Asuransi Asei Indonesia,Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Informatika
Sistem Komputer
Ilmu Komputer","Memiliki pengalaman kerja MINIMAL 2 TAHUN.
Menguasai C#; .NET; PHP; dan Phyton.
Berpengalaman dengan database MySQL, SQL Server dan db2.
Mampu bekerja dalam tim dan berkomunikasi dengan baik.
Dapat bekerja dibawah tekanan.
Pernah membuat minimal 1 (satu) aplikasi dan diterapkan.
Target-oriented.",https://rekrutmenbersama.fhcibumn.id/job/detail/84F5630756DDF32897D83EB61D4FCB93
Aktuaria,PT Reasuransi Indonesia Utama (Persero) - PT Asuransi Asei Indonesia,Analyst Research,Sarjana S1 / Diploma IV,"Statistik
Matematika
Aktuaria","Pengalaman Minimal 4 tahun sebagai Data Analyst/Actuary General Insurance;
Bila belum lulus sertifikasi Aktuaris, Minimal sudah lulus 2 subjek ujian sertifikasi;
Memiliki Kemampuan mengoperasikan Aplikasi Analisa Data seperti SQL, SAS, Phyton",https://rekrutmenbersama.fhcibumn.id/job/detail/C7A501D27BA0EB1728825F48CB995212
Aktuaria,PT Reasuransi Indonesia Utama (Persero) - PT Reasuransi Syariah Indonesia,Analyst Research,Sarjana S1 / Diploma IV,"Statistik
Matematika
Aktuaria","Pengalaman Minimal 4 tahun sebagai Data Analyst/Actuary
Bila belum lulus sertifikasi Aktuaris, Minimal sudah lulus 2 subjek ujian sertifikasi
Memiliki Kemampuan mengoperasikan Aplikasi Analisa Data seperti SQL, SAS, Phyton",https://rekrutmenbersama.fhcibumn.id/job/detail/1BEB3C285296022090836539E62FD137
Staff Underwriter RU,PT Reasuransi Indonesia Utama (Persero) - PT Reasuransi Syariah Indonesia,Capital Market Investment Banking,Sarjana S1 / Diploma IV,"Sarjana Teknik
Manajemen Asuransi","Pengalaman underwriter non marine minimum 3 tahun
Pengalaman menangani treaty minimum 3 tahun",https://rekrutmenbersama.fhcibumn.id/job/detail/58F8B87B751575DB5BCB2CC2C7A93027
Staff Akuntansi,PT Reasuransi Indonesia Utama (Persero) - PT Reasuransi Syariah Indonesia,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Mampu menyusun laporan keuangan
Mengikuti dan memahami perkembangan ketentuan dan peraturan yang baru sebagai dasar untuk mendukung akurasi penyajian laporan keuangan perusahaan
Melaksanakan filling yang baik terkait data di accounting division sehingga bisa dijamin kelengkapan dan keamanannya.",https://rekrutmenbersama.fhcibumn.id/job/detail/0BB448CD9B0D6DABAF95695ACBC598CE
Staff Manajemen Risiko Data Analytic,PT Bahana Pembinaan Usaha Indonesia (Persero),Risk Management,Sarjana S1 / Diploma IV,"Statistik
Matematika
Aktuaria","Memiliki pengalaman kerja min. 3 tahun di lembaga keuangan
Memiliki passion dan kemampuan yang baik terkait pengolahan data
Menguasai beberapa tools pengolahan data dan business intelligence seperti phyton, SQL, R, Power BI, dan/atau Tableau
Terbiasa membuat dashboard untuk level Middle dan Top Management terkait manajemen risiko
Mengetahui ketentuan-ketentuan regulator terkait industri jasa keuangan baik bank maupun non bank
Memiliki kemampuan berkomunikasi yang baik secara lisan dan tertulis, termasuk dalam penyusunan materi presentasi yang efektif
Pendidikan minimum tingkat S1 Statistika, Matematika, atau Aktuaria 8. Memiliki sertifikasi manajemen risiko dari lembaga terakreditasi
Memiliki kemampuan berbahasa Inggris yang baik
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/5651FB5A1D4A31F0FCCC57D791107674
Staff Bisnis Asuransi Umum dan Penjaminan,PT Bahana Pembinaan Usaha Indonesia (Persero),Keuangan,Sarjana S1 / Diploma IV,"Keuangan
Ekonomi
Akuntansi","S1 atau S2 jurusan Akuntansi, Finance, dan Ekonomi dari Universitas yang memiliki reputasi baik;
Memiliki pengalaman di Industri Keuangan atau KAP big 4 minimal 1 tahun;
Memiliki kemampuan dan pengalaman dalam melakukan analisa laporan keuangan dan data;
Memiliki kemampuan mengoperasikan Ms Excel di level menengah;
Pengalaman di Industri Asuransi merupakan poin plus;
Memiliki pengalaman berorganisasi.",https://rekrutmenbersama.fhcibumn.id/job/detail/07EA47841D230C1F9DBC5116E3EE9885
Staff Bisnis Asuransi Umum dan Penjaminan,PT Bahana Pembinaan Usaha Indonesia (Persero),Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,"Teknik Industri
Sistem Teknologi Informasi","Minimal pendidikan S1 diutamakan di bidang Teknik Industri dan Sistem Informasi;
Memiliki pengalaman di Industri Asuransi atau Keuangan minimal 1 tahun;
Memiliki kemampuan mengoperasikan Ms Power Point dan Ms Excel;
Memiliki pengalaman dalam perbaikan proses bisnis merupakan poin plus;
Memiliki pengalaman berorganisasi.",https://rekrutmenbersama.fhcibumn.id/job/detail/07A34E667A0BD829375801355F921A19
Staff Bisnis Capital Market dan Investasi,PT Bahana Pembinaan Usaha Indonesia (Persero),Capital Market Investment Banking,Sarjana S1 / Diploma IV,"Manajemen
Keuangan
Ekonomi
Akuntansi","Minimal pendidikan S1 diutamakan jurusan keuangan, ekonomi, akuntansi, manajemen;
Memiliki pengalaman konsultan atau di investment banking, khususnya terkait merger akuisisi minimal 1 tahun;
Memiliki kemampuan mengoperasikan Ms Power Point dan Ms Excel;
Mampu membaca dan memahami laporan keuangan;
Memiliki pengalaman berorganisasi.",https://rekrutmenbersama.fhcibumn.id/job/detail/EEFC7FEFA99B7C9FF85D4F185A282F3D
Staff Umum,PT Bahana Pembinaan Usaha Indonesia (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Sarjana Teknik
Manajemen
Ekonomi
Akuntansi","Latar belakang pendidikan Min. S1 Teknik, Manajemen, Ekonomi, accounting
Mempunyai pengalaman min. 1-2 tahun dibidang General Affairs, Properties management, Facilities management atau asset management
Menguasai Program Microsoft Office, terutama Microsoft Excel
Mampu bekerja di bawah tekanan dan bersemangat untuk belajar
Inisiatif, teliti, tangguh, komitmen dan bertanggung jawab terhadap pekerjaan
Mampu bekerja dalam tim dan memiliki kemampuan untuk berkomunikasi dengan baik dengan orang lain
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/E01CAD6B09DC88931C6E22FC3DE181C8
Staf Special Liability Management,PT Bahana Pembinaan Usaha Indonesia (Persero),Risk Management,Sarjana S1 / Diploma IV,"Keuangan
Ekonomi
Akuntansi","Minimal pendidikan S1 jurusan keuangan, akuntansi, ekonomi
Berpengalaman di bidang asuransi minimal 1-2 tahun
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/A57BA8A4C2D2C454C072B502E98CD292
Staf Pengembangan TI (Programmer),PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia - PT Jaminan Pembiayaan Askrindo Syariah,Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Komputer
Teknik Informatika
Sistem Teknologi Informasi","Menguasai minimal 1 (satu) bahasa pemrograman : mobile programming, .Net, PHP Framework CI, HTML, Java.
Menguasai framework JavaScript web (Frontend) : ReactJS, Vue.js, Angular, dan web stack programming lainnya.
Menguasai database Mysql, Oracle, Sql Server.
Menguasai teknik Data Integration (Json, Pentaho dsb).
Mengerti Operation System (Windows Server/Linux).
Memiliki pengalaman berorganisasi.",https://rekrutmenbersama.fhcibumn.id/job/detail/3DFF2DBFDBC22866BB3B1251313062DB
Staf Tata Kelola,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia - PT Jaminan Pembiayaan Askrindo Syariah,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum","Menguasai proses bisnis perusahaan penjaminan
Memiliki keterampilan presentasi dan komunikasi
Menguasai MS Excel, Word, Power Point
Memiliki pengetahuan tentang regulasi terkait dengan perusahaan penjaminan
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/54D57D85A518ABACB2E8CBBF637A8063
Staf Pemasaran,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia - PT Jaminan Pembiayaan Askrindo Syariah,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,"Memiliki pengetahuan bisnis perusahaan penjaminan
Memiliki pengetahuan bidang perbankan syariah
Memiliki keterampilan presentasi dan komunikasi
Menguasai MS Excel, Word, Power Point
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/BF66F4F4BE15A3CF2A21DD0D28A29764
Staf Aktuaria,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia - PT Jaminan Pembiayaan Askrindo Syariah,Analyst Research,Sarjana S1 / Diploma IV,"Statistik
Matematika
Aktuaria","Memiliki pengetahuan teknik perhitungan probabilitas dan statistik
Memiliki pengetahuan bisnis perusahaan penjaminan
Mahir mengoperasikan MS Excel
Memiliki pengetahuan mengenai aturan dalam PSAK dan POJK yang berkaitan dengan asuransi/penjaminan",https://rekrutmenbersama.fhcibumn.id/job/detail/CB4A37EC8B96264FC4FB8590A31DF86A
Staf Analis,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia - PT Jaminan Pembiayaan Askrindo Syariah,Analyst Research,Sarjana S1 / Diploma IV,Semua Jurusan,"Diutamakan memiliki pengalaman kerja sebagai Analis Pembiayaan
Memiliki pengetahuan bidang perbankan syariah
Memiliki pengetahuan tentang Analisa Laporan Keuangan
Memiliki pengetahuan tentang Analisa Pembiayaan
Menguasai MS Excel, Word, Power Point",https://rekrutmenbersama.fhcibumn.id/job/detail/F37F1E899C107A3F37D25DA2C598FCDD
Officer Pemasaran,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,"Mempunyai kemampuan komunikasi, negosiasi dan presentasi yang baik
Mampu beradaptasi dengan lingkungan dan bekerjasama dengan unit kerja yang terkait
Mengetahui Produk Asuransi Umum
Berorientasi pada customer dan target
Menguasai micrsoft office
Memiliki inovasi dan kreatfitas yang tinggi",https://rekrutmenbersama.fhcibumn.id/job/detail/08E61F6F2D9A12D81BA4B0EF3A107097
Analyst Underwriter,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia,Risiko Bisnis / Enterprise Risk,Sarjana S1 / Diploma IV,Semua Jurusan,"Mampu melakukan prudent underwriting.
Mampu memitigasi resiko.
Memiliki inovasi dan kreatfitas yang tinggi.
Mampu bekerja dengan teliti.
Mengathui produk asuransi umum.
Mampu berbahasa inggris baik secara aktif dan pasif.
Memiliki pengalaman berorganisasi.",https://rekrutmenbersama.fhcibumn.id/job/detail/D42C53C627C37F90E769A49BA733D6BB
Staf Bidang Operasional,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kerugian Jasa Raharja,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Statistik
Matematika
Manajemen
Ekonomi
Akuntansi","Warga Negara Indonesia
Minimal Lulusan S1 Perguruan Tinggi Negara (PTN) maupun Perguruan Tinggi Swasta (PTS) dengan IPK minimal 3,00 (PTN) dan 3,25 (PTS)
Umur maksimal 27 tahun
Tidak memiliki keluarga inti yang aktif bekerja di PT Jasa Raharja (Orang tua atau saudara kandung)
Belum menikah dan bersedia tidak menikah selama 1 tahun sejak diterima sebagai Calon Pegawai (dibuktikan dengan surat pernyataan)
Bersedia ditempatkan di seluruh wilayah Indonesia
Memiliki kemampuan analisa (analyctical thinking) yang baik, learning-oriented dan adaptif
Lancar berbahasa inggris baik aktif dan pasif
Berintegritas, dapat bekerja secara tim dan mampu berkomunikasi dengan baik",https://rekrutmenbersama.fhcibumn.id/job/detail/EBDB17E009D97ACCF9C8D8B479C11901
Programmer,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Jasa Indonesia,Developer Information Technology,Sarjana S1 / Diploma IV,Teknik Informatika,"Pendidikan minimal S1 jurusan Teknik Informatika menguasai Java dan bahasa pemrograman lainya
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/B25D957AA65BDC352097357004B1319F
Legal,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Jasa Indonesia,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Menguasai tentang ketentuan Hukum di indonesia maupun internasional
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/28F1EA707E713907FF1D5BA9D9DCA3EA
Actuary,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Jasa Indonesia,Analyst Research,Sarjana S1 / Diploma IV,"Matematika
Aktuaria","Menguasai pengolahan data, data analitik
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/B7349523C27C560A4E4E1AB50D4BA223
Underwriter,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Jasa Indonesia,Risiko Bisnis / Enterprise Risk,Sarjana S1 / Diploma IV,Sarjana Teknik,"Mampu melakukan analisa risiko
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/8062AE9CA15920CD000F522B320BAAC1
Ligitasi,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jaminan Kredit Indonesia,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Memiliki Pengalaman minimal 1 (satu) tahun dibidang litigasi perdata / inhouse corporate legal / law firm
Memiliki skill komunikasi, berwawasan luas, negosiasi dan analisa hukum yang baik
Memiliki KTPA PERADI sebagai nilai tambah
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/B36BD7C3D4D5D9BA92A38FF8F7041170
Network Monitoring,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jaminan Kredit Indonesia,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Memiliki pengalaman minimal 1 tahun
Mengetahui perangkat jaringan seperti Switch, Router, OLT, ONT & STB
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/E32BCCD2B8CBD0B06853B5A8538E943E
Database Admin,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jaminan Kredit Indonesia,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Memiliki kemampuan dalam database SQL Server, (Konfigurasi, Pemeliharaan Pemantauan)
Memiliki pengalaman dengan Mysql, PostgresSQL
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/99B766D736204906C3B918FD05BA0302
Finance,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jaminan Kredit Indonesia,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Memahami dasar-dasar akuntansi, pembuatan laporan keuangan
Memiliki pengalaman berorganisasi",https://rekrutmenbersama.fhcibumn.id/job/detail/2EDD0512457A943C2754E701BE0DCE73
Business Analyst,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jaminan Kredit Indonesia,Analyst Research,Sarjana S1 / Diploma IV,Semua Jurusan,"Pengalaman minimal 2 tahun sebagai IT Business Analyst.
Memiliki pengetahuan untuk mengidentifikasi, mengevaluasi, proses dan prosedur operasional, masalah dan persyaratan.
Unggul dalam membuat dokumentasi sistem, database, flowchart, proses bisnis, aplikasi, dan pengujian.
Keterampilan kepemimpinan yang baik, inisiatif, kerja tim, integritas, dan orang yang berorientasi pada detail.
Keterampilan komunikasi verbal dan tertulis yang sangat baik, termasuk kemampuan untuk menulis laporan dan korespondensi bisnis.
Analitis, komunikasi yang baik, dan sikap yang dapat dilakukan adalah suatu keharusan.",https://rekrutmenbersama.fhcibumn.id/job/detail/00FCF20ABB09D6B1AAE3AA70ABB10C56
Data Analyst,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Jaminan Kredit Indonesia,Analyst Research,Sarjana S1 / Diploma IV,"Statistik
sains komputer
Matematika","Pengalaman minimal 1 tahun di bidang Data sebagai nilai tambah
Memiliki Pemikiran analitis yang kuat
Dapat menggunakan SQL
Dapat menggunakan phyton atau R sebagai nilai tambah",https://rekrutmenbersama.fhcibumn.id/job/detail/7CBE78C72CD4C0AC3CA65E8A77686DE3
Business Development Analyst Officer,PT RNI (Persero) - ID FOOD - PT Berdikari,Analyst Research,Sarjana S1 / Diploma IV,"Peternakan
Manajemen
Ekonomi
Bisnis
Akuntansi","Menguasai bisnis proses Peternakan dan Ruminansia dari hulu ke hilir menjadi nilai tambah
Memiliki pengalaman di bidang business development atau yang relevan selama 1 tahun
Bisa membuat dan melakukan analisa feasibility study, pemaparan bisnis
Memiliki kemampuan analisis bisnis dan finansial yang baik
IPK minimal 3.00
Mampu mengolah, menarik dan menyajikan insight dari data menggunakan Business Analytics Tools (Power BI, Google Analytics, Odoo CRM)
Memiliki kemampuan problem solving, analytical thingking dan strategic orientation
Mampu berbahasa inggris, lisan dan tulisan",https://rekrutmenbersama.fhcibumn.id/job/detail/1B8D56C84705EBD7800717FBE46D9AFA
Staf IT,PT RNI (Persero) - ID FOOD - PT Garam,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Informatika
Sistem Teknologi Informasi","Menguasai bahasa pemrograman PHP, Framework CI, MySql dan mobile apps.
Memahami alur proses bisnis.
Bisa membuat flowchart dan desain sistem.
IPK minimal 3.00.",https://rekrutmenbersama.fhcibumn.id/job/detail/601EFAEEDBB78F2BBED47EE0FDBB3FC7
Staf Finance & Accounting,PT RNI (Persero) - ID FOOD - PT Garam,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Memahami PSAK
Mampu bekerja dibawah tekanan
Bisa mengoperasikan software ERP
Diutamakan yang memiliki sertifikat Brevet A & B
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/9F364D2CEEBC72968F544B780617975C
Staf Teknik & Perencanaan,PT RNI (Persero) - ID FOOD - PT Garam,Sistem Management and Safety,Sarjana S1 / Diploma IV,"Teknik Pengolahan Limbah
Teknik Lingkungan","Mampu menyusun laporan pemantauan lingkungan (laporan UKL UPL / DELH)
Memahami pengelolaan limbah di lingkungan industri baik limbah padat, limbah cair, limbah B3
Dapat membuat / merancang IPAL (Instalasi pengelolaan air limbah)
Menguasai software Autocad, Sketchup dan sejenisnya
Mampu berkomunikasi dengan baik
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/54322E08B3ED07DD8D657C46E1E17968
Staf Teknik & Perencanaan,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Elektro,"Memiliki analisa arus kuat dan arus lemah
Menguasai sistem kontrol
Memiliki pemahaman permesinan industri
Dapat menganalisa dan melakukan perbaikan mesin
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/203B4A5F64CEFB9893B93512391BE99B
Staf Corporate Legal,PT RNI (Persero) - ID FOOD - PT Garam,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Menguasai Ilmu hukum khususnya bidang Perdata, Pidana, dan Perizinan
Memiliki pengetahuan tentang hukum serta peraturan perundangan yang berlaku
Menguasai skill komunikasi dan negosiasi
Menguasai skill pengadministrasian
Menguasai kemampuan menganalisa
Menguasai kemampuan mengoperasikan ms. Office dan perangkat telekomunikasi lainnya
Diutamakan memiliki sertifikat PKPA dan telah melakukan sumpah advokat
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/474995C0839FF7D920152135328C6904
Staf Investasi & Perencanaan Strategis,PT RNI (Persero) - ID FOOD - PT Garam,Strategic Planning,Sarjana S1 / Diploma IV,Teknik Mesin,"Memiliki kemampuan research skill, analytical thinking, critical thinking, dan mampu dalam menciptakan inovasi
Menguasai manajemen proyek dan planing administrasi serta analalisa biasa (RAB)
Mempu membuat flow diagram proses (PFD) dan Feasibility study (FS) proyek
Menguasai software office (visio, excel, power point, word dll)
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/36E95946F3967CFBF5F14BE0713CD52D
Staf Industri Garam,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Mesin,"Memiliki pemahaman tentang mesin industri & proses produksi.
Mampu menganalisa proses produksi.
Menguasai Manajemen sistem kontrol dalam cost driven activity.
Menguasai Manajemen reliability maintenance.
Menguasai Manajemen problem solving dan root cause analysis.
IPK minimal 3.00.",https://rekrutmenbersama.fhcibumn.id/job/detail/C01C40327161EF47E0EE2F0C760999ED
